network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy
Conservative,MarginalProbability,{'prob_threshold': 0.1},1.0,0.5,0.7,2,1,0.2,126,63,63,37,29,24,26,16,47,37,0.6190476190476191,0.4126984126984127,0.49523809523809526,0.5793650793650794
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.1,0.2,2,1,0.2,390,130,260,37,29,24,120,92,168,10,0.5660377358490566,0.9230769230769231,0.7017543859649122,0.7384615384615385
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.1,0.3,2,1,0.2,363,121,242,37,29,24,116,118,124,5,0.49572649572649574,0.9586776859504132,0.6535211267605635,0.6611570247933884
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.1,0.5,2,1,0.2,270,90,180,37,29,24,88,114,66,2,0.43564356435643564,0.9777777777777777,0.6027397260273972,0.5703703703703704
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.1,0.7,2,1,0.2,189,63,126,37,29,24,63,83,43,0,0.4315068493150685,1.0,0.6028708133971292,0.5608465608465608
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.2,0.2,2,1,0.2,390,130,260,37,29,24,71,39,221,59,0.6454545454545455,0.5461538461538461,0.5916666666666667,0.7487179487179487
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.2,0.3,2,1,0.2,363,121,242,37,29,24,77,64,178,44,0.5460992907801419,0.6363636363636364,0.5877862595419847,0.7024793388429752
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.2,0.5,2,1,0.2,270,90,180,37,29,24,69,95,85,21,0.42073170731707316,0.7666666666666667,0.5433070866141732,0.5703703703703704
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.2,0.7,2,1,0.2,189,63,126,37,29,24,51,71,55,12,0.4180327868852459,0.8095238095238095,0.5513513513513515,0.5608465608465608
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.3,0.2,2,1,0.2,390,130,260,37,29,24,43,16,244,87,0.7288135593220338,0.33076923076923076,0.455026455026455,0.735897435897436
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.3,0.3,2,1,0.2,363,121,242,37,29,24,57,44,198,64,0.5643564356435643,0.47107438016528924,0.5135135135135134,0.7024793388429752
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.3,0.5,2,1,0.2,270,90,180,37,29,24,57,73,107,33,0.43846153846153846,0.6333333333333333,0.5181818181818182,0.6074074074074074
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.3,0.7,2,1,0.2,189,63,126,37,29,24,42,58,68,21,0.42,0.6666666666666666,0.5153374233128833,0.582010582010582
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.4,0.2,2,1,0.2,390,130,260,37,29,24,23,11,249,107,0.6764705882352942,0.17692307692307693,0.2804878048780488,0.6974358974358974
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.4,0.3,2,1,0.2,363,121,242,37,29,24,30,31,211,91,0.4918032786885246,0.24793388429752067,0.3296703296703297,0.6639118457300276
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.4,0.5,2,1,0.2,270,90,180,37,29,24,48,56,124,42,0.46153846153846156,0.5333333333333333,0.4948453608247423,0.6370370370370371
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.4,0.7,2,1,0.2,189,63,126,37,29,24,34,44,82,29,0.4358974358974359,0.5396825396825397,0.48226950354609927,0.6137566137566137
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.5,0.2,2,1,0.2,390,130,260,37,29,24,8,5,255,122,0.6153846153846154,0.06153846153846154,0.1118881118881119,0.6743589743589744
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.5,0.3,2,1,0.2,363,121,242,37,29,24,15,14,228,106,0.5172413793103449,0.12396694214876033,0.2,0.6694214876033058
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.5,0.5,2,1,0.2,270,90,180,37,29,24,26,33,147,64,0.4406779661016949,0.28888888888888886,0.34899328859060397,0.6407407407407407
Conservative,MarginalProbability,{'prob_threshold': 0.1},2.0,0.5,0.7,2,1,0.2,189,63,126,37,29,24,26,36,90,37,0.41935483870967744,0.4126984126984127,0.416,0.6137566137566137
Conservative,MarginalProbability,{'prob_threshold': 0.15},1.0,0.1,0.2,2,1,0.2,260,130,130,44,29,24,120,43,87,10,0.7361963190184049,0.9230769230769231,0.8191126279863482,0.7961538461538461
Conservative,MarginalProbability,{'prob_threshold': 0.15},1.0,0.1,0.3,2,1,0.2,242,121,121,44,29,24,116,55,66,5,0.6783625730994152,0.9586776859504132,0.7945205479452054,0.7520661157024794
Conservative,MarginalProbability,{'prob_threshold': 0.15},1.0,0.1,0.5,2,1,0.2,180,90,90,44,29,24,88,51,39,2,0.6330935251798561,0.9777777777777777,0.7685589519650655,0.7055555555555556
