occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold,tp,fp,tn,fn,total_samples,positive_samples,negative_samples,precision,recall,f1_score,accuracy,valid_days,total_days,network_nodes,negative_candidates_count,runtime_seconds
2,1,0.2,2,0.1,1.5,0.05,48,36,47,9,140,57,83,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.6785714285714286,11,29,53,24,1.0369656085968018
2,1,0.2,2,0.1,1.5,0.08,48,36,47,9,140,57,83,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.6785714285714286,11,29,53,27,1.05924391746521
2,1,0.2,2,0.1,2.0,0.03,48,18,59,9,134,57,77,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.7985074626865671,11,29,53,11,1.044057846069336
2,1,0.2,2,0.1,2.0,0.05,48,47,61,9,165,57,108,0.5052631578947369,0.8421052631578947,0.631578947368421,0.6606060606060606,11,29,53,24,1.160851240158081
2,1,0.2,2,0.1,2.0,0.08,48,46,64,9,167,57,110,0.5106382978723404,0.8421052631578947,0.6357615894039735,0.6706586826347305,11,29,53,27,1.1248624324798584
2,1,0.2,2,0.2,1.0,0.03,25,6,46,32,109,57,52,0.8064516129032258,0.43859649122807015,0.5681818181818181,0.6513761467889908,11,29,53,11,0.9697391986846924
2,1,0.2,2,0.2,1.0,0.05,25,7,50,32,114,57,57,0.78125,0.43859649122807015,0.5617977528089887,0.6578947368421053,11,29,53,24,0.9954240322113037
2,1,0.2,2,0.2,1.0,0.08,25,7,50,32,114,57,57,0.78125,0.43859649122807015,0.5617977528089887,0.6578947368421053,11,29,53,27,1.0126445293426514
2,1,0.2,2,0.2,1.5,0.03,25,9,57,32,123,57,66,0.7352941176470589,0.43859649122807015,0.5494505494505495,0.6666666666666666,11,29,53,11,0.9955041408538818
2,1,0.2,2,0.2,1.5,0.05,25,11,72,32,140,57,83,0.6944444444444444,0.43859649122807015,0.5376344086021505,0.6928571428571428,11,29,53,24,1.0525860786437988
2,1,0.2,2,0.2,1.5,0.08,25,11,72,32,140,57,83,0.6944444444444444,0.43859649122807015,0.5376344086021505,0.6928571428571428,11,29,53,27,1.042187213897705
2,1,0.2,2,0.2,2.0,0.03,25,9,68,32,134,57,77,0.7352941176470589,0.43859649122807015,0.5494505494505495,0.6940298507462687,11,29,53,11,1.0489377975463867
2,1,0.2,2,0.2,2.0,0.05,25,15,93,32,165,57,108,0.625,0.43859649122807015,0.5154639175257731,0.7151515151515152,11,29,53,24,1.0930073261260986
2,1,0.2,2,0.2,2.0,0.08,25,14,96,32,167,57,110,0.6410256410256411,0.43859649122807015,0.5208333333333334,0.7245508982035929,11,29,53,27,1.1541502475738525
2,1,0.2,2,0.3,1.0,0.03,12,3,49,45,109,57,52,0.8,0.21052631578947367,0.3333333333333333,0.5596330275229358,11,29,53,11,0.9800150394439697
2,1,0.2,2,0.3,1.0,0.05,12,0,57,45,114,57,57,1.0,0.21052631578947367,0.34782608695652173,0.6052631578947368,11,29,53,24,1.0012857913970947
2,1,0.2,2,0.3,1.0,0.08,12,0,57,45,114,57,57,1.0,0.21052631578947367,0.34782608695652173,0.6052631578947368,11,29,53,27,0.9878175258636475
